SecurityCode	SecurityName	LatestPrice	PriceChangeRate	HolderNum	PreviousHolderNum	HolderNumChange	HolderNumChangeRate	RangeChangeRate	EndDate	PreviousEndDate	HolderAvgCapitalisation	HolderAvgStockQuantity	TotalCapitalisation	CapitalStock	NoticeDate
000155	川化股份	6.66	1.06	62684	29521	33163	112.337	-41.29	2017-12-31T00:00:00	2017-09-30T00:00:00	122169.931721013	20260.35	7658100000	1270000000	2018-04-28T00:00:00
300023	宝德股份	11.06	0.09	22828	23023	-195	-0.847	-7.55	2017-12-31T00:00:00	2017-11-15T00:00:00	149135.709074382	13847.33	3404469966.75	316106775	2018-04-28T00:00:00
600686	金龙汽车	13.77	-0.36	23246	20246	3000	14.8177	-24.55	2017-12-31T00:00:00	2017-09-30T00:00:00	340093.039590897	26100.77	7905802798.33	606738511	2018-04-28T00:00:00
600302	标准股份	5.2	-0.57	21042	19943	1099	5.5107	-24.3	2017-12-31T00:00:00	2017-09-30T00:00:00	98333.7433666001	16443.77	2069138627.92	346009804	2018-04-28T00:00:00
600291	西水股份	15.22	-1.1	111064	112173	-1109	-0.9887	-11.98	2017-12-31T00:00:00	2017-09-30T00:00:00	231478.014213066	9841.75	25708874170.56	1093064378	2018-04-28T00:00:00
000820	神雾节能	14.9	-0.67	21829	21828	1	0.0046	0	2017-12-31T00:00:00	2017-09-30T00:00:00	845417.638422282	29192.6	18454621629.12	637245222	2018-04-28T00:00:00
600356	恒丰纸业	7.2	-1.23	17823	18077	-254	-1.4051	-17.5	2017-12-31T00:00:00	2017-09-30T00:00:00	139116.33492678	16761	2479470437.4	298731378	2018-04-28T00:00:00
000100	TCL集团	3.31	-1.19	467540	471495	-3955	-0.8388	-1.52	2017-12-31T00:00:00	2017-12-15T00:00:00	112735.575663473	28906.56	52708391045.7	13514972063	2018-04-28T00:00:00
601058	赛轮金宇	2.92	-0.34	60980	67560	-6580	-9.7395	-3.22	2017-12-31T00:00:00	2017-09-30T00:00:00	159925.765989341	44300.77	9752273210.03	2701460723	2018-04-28T00:00:00
002180	纳思达	31.21	-1.23	10727	10650	77	0.723	-3.77	2017-12-31T00:00:00	2017-09-30T00:00:00	2707995.79434884	99157.66	29048670885.98	1063664258	2018-04-28T00:00:00
000679	大连友谊	5.88	1.91	28575	29901	-1326	-4.4346	-22.59	2017-12-31T00:00:00	2017-09-30T00:00:00	88055.4330708661	12472.44	2516184000	356400000	2018-04-28T00:00:00
600984	建设机械	6.46	5.21	33996	39147	-5151	-13.1581	-10.08	2017-12-31T00:00:00	2017-09-30T00:00:00	120250.211297211	18730.56	4088026183.26	636764203	2018-04-28T00:00:00
